Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Northcote,4,h,VB,FN,5.3,3070,4,1,1,364.8,154,1920,Darebin City Council,-37.76422,144.99864,Northern Metropolitan,11364,Detached Garage,1650000,2018,6
Cheltenham,5,h,S,O'Brien,17.9,3192,3.4,1.6,1.6,461,158.2,1951.8,Bayside City Council,-37.878836,144.9976,Southern Metropolitan,9758,Parkade,1151000,2017,6
Balwyn,2,u,SA,Noel,7.9,3103,2.2,1.4,1.4,379.8,157.6,1973,Boroondara City Council,-37.77996,144.9758,Southern Metropolitan,5682,Parkade,690000,2017,6
Northcote,1,u,S,Harcourts,5.3,3070,2.2,1.4,1,418.2,92.2,1989.6,Darebin City Council,-37.756934,144.930076,Northern Metropolitan,11364,Attached Garage,405000,2017,9
Bentleigh East,4,t,S,Buxton,13.9,3165,3.4,1.4,1.6,606.4,133.4,1956,Glen Eira City Council,-37.922174,145.069054,Southern Metropolitan,10969,Carport,1200000,2016,3
Pascoe Vale,5,h,S,Nelson,9.9,3044,5,2,2,706,166,1950,Moreland City Council,-37.7328,144.9281,Northern Metropolitan,7485,Indoor,958000,2017,4
Templestowe Lower,2,t,S,Barry,13.8,3107,2,1,1,340,90,1980,Manningham City Council,-37.7564,145.1195,Eastern Metropolitan,5420,Carport,678000,2016,10
Reservoir,4,h,S,Barry,11.2,3073,4,2,1.6,601,138.2,1946.8,Darebin City Council,-37.7176,145.0058,Northern Metropolitan,21650,Underground,1700000,2016,8
Niddrie,2,u,S,Barry,11.2,3042,2,2,1,217,113,2006,Moonee Valley City Council,-37.7465,144.8868,Western Metropolitan,2291,Parkade,660000,2016,4
Hawthorn,3,h,VB,Marshall,5.3,3122,3,1,0,216,104,1890,Boroondara City Council,-37.82031,145.04043,Southern Metropolitan,11308,Underground,1450000,2017,9
Kew,2,u,PI,Marshall,5.6,3101,2,1,2,91,95.4,1970,Boroondara City Council,-37.8003,145.0375,Southern Metropolitan,10331,Indoor,630000,2017,4
Heidelberg West,4,h,S,Fletchers,9.4,3081,4,2,2,608,148.6,1983.8,Banyule City Council,-37.7437,145.0402,Eastern Metropolitan,2674,Carport,820000,2016,11
Surrey Hills,4,h,VB,Marshall,11.2,3127,5,2,2,612,292,1970,Boroondara City Council,-37.8345,145.1009,Southern Metropolitan,5457,Indoor,1850000,2016,4
Brunswick West,3,h,VB,Brad,5.2,3055,3,1,2.2,532,136.6,1988.6,Moreland City Council,-37.7575,144.93606,Northern Metropolitan,7082,Attached Garage,950000,2018,3
Bentleigh East,3,h,VB,hockingstuart,13.9,3165,3,1,1,710,150.78,1966,Glen Eira City Council,-37.9324,145.0577,Southern Metropolitan,10969,Detached Garage,780000,2016,5
Armadale,3,h,S,Jellis,6.3,3143,3,2,2,296,150,1889,Stonnington City Council,-37.8614,145.0274,Southern Metropolitan,4836,Outdoor Stall,1939000,2016,3
Mitcham,3,u,S,McGrath,17.2,3132,3.2,1.6,2,443.8,153.2,1984.6,Whitehorse City Council,-37.846366,145.072662,Eastern Metropolitan,6871,Parkade,862000,2017,11
Wollert,4,h,SP,hockingstuart,8.12,3750,4,3,2,476,207,2014,Whittlesea City Council,-37.61722,145.00067,Northern Metropolitan,2940,Detached Garage,745000,2018,3
Balwyn North,3,t,S,Jellis,9.7,3104,3,2,2,389,123.6,1951.8,Boroondara City Council,-37.79423,145.10535,Southern Metropolitan,7809,Parkade,1005000,2017,3
Bentleigh,4,h,S,Buxton,13,3204,3.4,2,1.6,484.4,187,1936.6,Glen Eira City Council,-37.864852,144.989042,Southern Metropolitan,6795,Underground,1860000,2016,9
Heidelberg,3,u,S,Fletchers,10.6,3084,3,1,1,215,116.8,1985,Banyule City Council,-37.7509,145.0698,Eastern Metropolitan,2890,Outdoor Stall,620000,2017,4
Aspendale Gardens,4,h,PI,Ray,21.5,3195,4,2,2,717.8,134.4,1948,Kingston City Council,-38.01986,145.12546,South-Eastern Metropolitan,2243,Parking Pad,1000000,2018,3
Kew,4,h,S,Marshall,5.6,3101,4,3,2,741,251.2,1890,Boroondara City Council,-37.8043,145.0291,Southern Metropolitan,10331,Underground,2250000,2016,7
Reservoir,3,h,S,Nelson,11.2,3073,3,1,2,496,182.6,1967.6,Darebin City Council,-37.7263,145.0003,Northern Metropolitan,21650,Attached Garage,832000,2016,11
Camberwell,4,h,S,Marshall,7.7,3124,4,2,2,701,197,1930,Boroondara City Council,-37.84003,145.0691,Southern Metropolitan,8920,Indoor,2175000,2018,3
Westmeadows,3,h,S,Jason,16.5,3049,3,1,1,61.8,108,1970,Hume City Council,-37.6706,144.9024,Northern Metropolitan,2474,Indoor,547500,2017,11
Bentleigh,2,u,PI,Hodges,11.4,3204,2,1,1,1,62,2011,Glen Eira City Council,-37.9332,145.03794,Southern Metropolitan,6795,Underground,380000,2017,8
Epping,5,h,S,HAR,19.6,3076,5,2,2,612,263,2001,Whittlesea City Council,-37.63594,145.03306,Northern Metropolitan,10926,Detached Garage,670000,2018,3
Seaford,3,h,S,Ray,15.38,3198,3,1,2,627,109.6,1980,Frankston City Council,-38.10421,145.14688,South-Eastern Metropolitan,8077,Detached Garage,635000,2018,6
Broadmeadows,5,h,S,YPA,14,3047,2.8,1.2,1.8,447.4,128.6,1984.2,Hume City Council,-37.778378,144.947912,Northern Metropolitan,4294,Parkade,680000,2017,11
St Albans,4,h,S,Barry,14,3021,4,2,2,514.8,155,1960,Brimbank City Council,-37.73075,144.79751,Western Metropolitan,14042,Detached Garage,737000,2017,10
Sunshine,4,h,S,Jas,12.6,3020,2,2,2,581,97,1966,Brimbank City Council,-37.7905,144.8414,Western Metropolitan,3755,Indoor,1001000,2016,7
Williamstown,2,t,SP,Greg,8,3016,2,1,1,84,110,1980,Hobsons Bay City Council,-37.8581,144.9015,Western Metropolitan,6380,Detached Garage,830000,2016,7
Kensington,3,h,S,Nelson,4.2,3031,2,1,1,258,64,1989,Melbourne City Council,-37.7906,144.924,Northern Metropolitan,5263,Detached Garage,785000,2016,3
Ivanhoe,2,u,S,Miles,7.9,3079,2.8,1.6,1.6,507.4,118.2,1992,Banyule City Council,-37.720798,144.878678,Eastern Metropolitan,5549,Parking Pad,581000,2016,6
Reservoir,3,t,S,Ray,11.2,3073,3,1,1,270,160,2016,Darebin City Council,-37.702,145.0148,Northern Metropolitan,21650,Parking Pad,592000,2016,8
Craigieburn,4,h,S,Ray,20.6,3064,3,1.4,1.4,297.8,143.8,1989.8,Hume City Council,-37.844732,144.840852,Northern Metropolitan,15510,Parkade,622000,2017,8
Burwood,3,h,VB,Noel,11.7,3125,3,1,1,589,139.8,1967,Monash City Council,-37.855,145.118,Southern Metropolitan,5678,Indoor,1000000,2016,5
Mordialloc,5,h,S,Buxton,21.5,3195,5,3,2,533,241,1985,Kingston City Council,-37.98903,145.09622,South-Eastern Metropolitan,3650,Indoor,1300000,2018,3
Footscray,3,t,S,Jas,6.4,3011,3,2,2,102,102,2011,Maribyrnong City Council,-37.7987,144.8807,Western Metropolitan,7570,Detached Garage,757000,2016,8
Bayswater North,3,h,SA,Stockdale,23.2,3153,3,1,2,787,112,1984.2,Maroondah City Council,-37.82737,145.2938,Eastern Metropolitan,3598,Parkade,650000,2017,7
Plumpton,4,h,SP,HAR,23.8,3335,4,2,2,477,178,2012,Melton City Council,-37.71429,144.72492,Western Metropolitan,1490,Indoor,625500,2017,9
Berwick,3,h,S,O'Brien,5.82,3806,3,2,2,677,183.2,1990.8,Casey City Council,-38.01458,145.32746,Eastern Victoria,17093,Detached Garage,670000,2018,3
Beaumaris,3,t,PI,McGrath,17.3,3193,3,3,2,252,203,2007,Bayside City Council,-37.98453,145.02659,Southern Metropolitan,5366,Attached Garage,1850000,2017,7
Diamond Creek,3,h,VB,Barry,21.8,3089,3,2,1,795.2,153.2,1993.2,Nillumbik Shire Council,-37.67518,145.16859,Northern Victoria,4258,Indoor,720000,2018,10
Keilor East,4,h,S,Jellis,11.7,3033,3.8,1.6,1.2,542.4,186.8,1954.2,Brimbank City Council,-37.840026,145.04629,Western Metropolitan,5629,Parkade,1703000,2017,6
Toorak,2,u,S,Jellis,4.6,3142,3.4,1.6,1.2,589.6,162.4,1957,Stonnington City Council,-37.834262,145.064278,Southern Metropolitan,7217,Attached Garage,1000000,2016,7
Ripponlea,2,u,S,Biggin,7.2,3185,3,1.6,1.6,434.8,123.4,1983,Port Phillip City Council,-37.759812,144.943514,Southern Metropolitan,821,Carport,782000,2018,3
Rosanna,2,h,SP,Nelson,8.9,3084,3.2,1.4,1.8,470.2,131,1975,Banyule City Council,-37.764122,144.940212,Eastern Metropolitan,3540,Attached Garage,750240,2018,2
Templestowe Lower,4,h,VB,Barry,12.4,3107,4,3,2,463,235,2004,Manningham City Council,-37.76562,145.11944,Eastern Metropolitan,5420,Detached Garage,1250000,2018,3
Newport,2,h,S,Jas,6.2,3015,2,1,1,301,142.6,1920,Hobsons Bay City Council,-37.84905,144.8912,Western Metropolitan,5498,Outdoor Stall,1110000,2018,3
South Yarra,3,h,VB,Marshall,3.3,3141,3,2,2,0,172,2005,Melbourne City Council,-37.8433,145.0001,Southern Metropolitan,14887,Outdoor Stall,1400000,2017,2
Doncaster East,3,h,S,Jellis,14.3,3109,3,2,2,402,200,2007,Manningham City Council,-37.79408,145.16352,Eastern Metropolitan,10999,Underground,1360000,2017,5
South Melbourne,3,h,VB,Cayzer,2.1,3205,3,1.4,1.2,609.4,137.8,1949.8,Port Phillip City Council,-37.804842,145.050106,Southern Metropolitan,5943,Underground,1350000,2016,10
Berwick,4,h,S,Harcourts,11.18,3806,4,2,2,796,199.8,2004,Casey City Council,-38.06022,145.35044,Eastern Victoria,17093,Carport,740000,2017,5
Camberwell,4,h,S,Jellis,7.8,3124,4,2,2,813,163,1960,Boroondara City Council,-37.8405,145.0903,Southern Metropolitan,8920,Detached Garage,2228000,2017,3
Taylors Lakes,4,h,PI,Barry,15.5,3038,4,2,3,723,155,1982.8,Brimbank City Council,-37.69048,144.78702,Western Metropolitan,5336,Carport,700000,2017,9
Cheltenham,2,u,PI,O'Brien,17.9,3192,3,1.4,1.6,256.8,123.6,1964.4,Bayside City Council,-37.97257,145.05681,Southern Metropolitan,9758,Outdoor Stall,760000,2017,6
Prahran,2,t,S,Jellis,4.6,3181,2,1,2,57,134.4,1950.4,Stonnington City Council,-37.84839,145.0013,Southern Metropolitan,7717,Carport,1190000,2017,5
Essendon,3,t,S,McDonald,7.5,3040,3,2,2,307,174,1949.8,Moonee Valley City Council,-37.74315,144.89941,Western Metropolitan,9264,Indoor,1269000,2017,10
Altona,3,h,VB,Greg,13.8,3018,3,1,1,602,123,1955,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301,Attached Garage,660000,2016,7
Mernda,3,h,S,Millership,13.4,3754,2.6,1.4,1.6,229.4,115.6,1990.6,Whittlesea City Council,-37.818318,144.917094,Northern Metropolitan,5812,Detached Garage,605000,2017,11
Newport,3,h,SP,Greg,8.4,3015,3,1,2,316,118,1960,Hobsons Bay City Council,-37.849,144.8907,Western Metropolitan,5498,Indoor,995000,2016,7
Werribee,5,h,S,Ray,14.7,3030,5,2,2,580,218,1970,Wyndham City Council,-37.90145,144.66978,Western Metropolitan,16166,Carport,640000,2018,2
Werribee,3,h,SP,Greg,14.7,3030,3,2,2,568,146,1987,Wyndham City Council,-37.88173,144.66524,Western Metropolitan,16166,Carport,470000,2017,10
Oakleigh East,4,h,S,Buxton,12.3,3166,4,2,2,733,175.2,1967.2,Monash City Council,-37.89974,145.11705,Southern Metropolitan,2547,Carport,1140000,2018,10
Bundoora,3,h,S,Barry,12.1,3083,3,1,1,612,101,1960,Banyule City Council,-37.70602,145.05945,Northern Metropolitan,10175,Indoor,730000,2017,8
Sunbury,3,h,S,YPA,17.52,3429,3,2,1,705,212,1986,Hume City Council,-37.5613,144.72751,Western Metropolitan,14092,Parkade,530000,2017,10
Avondale Heights,4,h,SP,Moonee,10.5,3034,3,1.4,1.2,513.2,116,1952.6,Moonee Valley City Council,-37.77731,144.964818,Western Metropolitan,4502,Underground,900000,2017,5
Strathmore,3,h,S,Considine,8.2,3041,3,2,2,264,135,1960.4,Moonee Valley City Council,-37.72809,144.91701,Western Metropolitan,3284,Detached Garage,880000,2017,10
Carlton North,2,h,S,Nelson,3.5,3054,2,1,1.2,476.2,109.6,1927.6,Melbourne City Council,-37.78791,144.96938,Northern Metropolitan,3106,Parkade,1065000,2017,9
Doncaster,3,u,SP,Barry,13.9,3108,2.8,1,1.4,348.4,143.6,1977.2,Manningham City Council,-37.775256,145.056688,Eastern Metropolitan,9028,Attached Garage,828000,2016,10
South Yarra,3,h,PI,Kay,3.3,3141,3.4,1.6,1.6,491.2,139.8,1937.2,Melbourne City Council,-37.848676,145.062336,Southern Metropolitan,14887,Attached Garage,1750000,2016,11
Altona North,4,h,S,hockingstuart,11.1,3025,2.8,1.6,1.8,478.2,168.4,1980,Hobsons Bay City Council,-37.838418,145.079934,Western Metropolitan,5132,Indoor,883000,2016,10
Richmond,3,h,S,Biggin,2.6,3121,3,1,1,152,92,1910,Yarra City Council,-37.8219,145.0096,Northern Metropolitan,14949,Parking Pad,1270000,2016,11
Carnegie,2,u,SP,Ray,11.4,3163,2.8,1.2,1.8,251.8,102.2,1978.6,Glen Eira City Council,-37.782518,144.957936,Southern Metropolitan,7822,Underground,605000,2017,6
Aberfeldie,3,t,SP,Barry,9.1,3040,3,3,1,593,205,2016,Moonee Valley City Council,-37.7584,144.8968,Western Metropolitan,1543,Carport,1300000,2017,2
East Melbourne,2,u,SP,Caine,1.3,3002,2,2,1,997,92,2001,Melbourne City Council,-37.8161,144.98494,Northern Metropolitan,3040,Detached Garage,1300000,2017,12
Newport,2,h,SP,Williams,8.4,3015,1,1,1,343,106,1920,Hobsons Bay City Council,-37.8414,144.8752,Western Metropolitan,5498,Detached Garage,801000,2016,6
Essendon,4,t,PI,Frank,8,3040,3,3,2,374,267,2015,Moonee Valley City Council,-37.7507,144.8911,Western Metropolitan,9264,Indoor,1250000,2016,6
West Melbourne,2,h,S,Purplebricks,1.9,3003,2,1,0,147,115.2,1880,Melbourne City Council,-37.8059,144.9459,Northern Metropolitan,2230,Carport,1053000,2017,4
St Kilda,1,u,S,Pride,6.1,3182,1,1,1,0,59.6,1984,Port Phillip City Council,-37.8591,144.979,Southern Metropolitan,13240,Carport,400000,2016,8
Malvern East,4,t,S,Jellis,11.2,3145,4,3,2,274,225.98,1956.2,Stonnington City Council,-37.873,145.0664,Southern Metropolitan,8801,Carport,1510000,2017,5
Reservoir,2,h,S,Ray,11.2,3073,3,1.2,1.6,471.6,169.942,1998.4,Darebin City Council,-37.71162,145.014452,Northern Metropolitan,21650,Outdoor Stall,590000,2016,8
Fawkner,3,t,S,Harcourts,13.1,3060,3,1,1,642,123,2008,Hume City Council,-37.7127,144.9746,Northern Metropolitan,5070,Carport,542000,2017,11
Greensborough,3,h,S,Barry,16.1,3088,3,1,3,570,120.4,1964.2,Banyule City Council,-37.70817,145.10028,Northern Metropolitan,8524,Attached Garage,760000,2017,3
Hawthorn East,2,u,SP,Marshall,6.2,3123,3,1.2,1.2,369.8,136.8,1994.4,Boroondara City Council,-37.78491,144.83894,Southern Metropolitan,6482,Parking Pad,599500,2017,10
Port Melbourne,4,h,VB,Marshall,3.5,3207,3.6,2.2,1.6,445.8,226.2,1950,Melbourne City Council,-37.859416,145.005786,Southern Metropolitan,8648,Detached Garage,2200000,2017,12
Keilor East,4,t,S,Barry,12.8,3033,4,3,1,322,257,1950,Brimbank City Council,-37.7293,144.8659,Western Metropolitan,5629,Parking Pad,886000,2016,10
Box Hill,4,h,S,Ray,13.1,3128,3.4,2,2,564.8,187.8,1939,Whitehorse City Council,-37.923348,145.010746,Eastern Metropolitan,4605,Indoor,1750000,2017,2
Wyndham Vale,3,h,SP,Black,12.84,3024,2.8,1.4,1.6,555.8,101.2,1989.2,Wyndham City Council,-37.87248,144.59761,Western Metropolitan,5262,Indoor,525000,2017,3
Ashwood,2,u,S,hockingstuart,12.2,3147,2,1,2,192,88,2007,Monash City Council,-37.8709,145.102,Southern Metropolitan,2894,Parkade,700000,2016,8
Brunswick,4,h,PI,Jellis,5.2,3056,4,2,1,459,136.2,1909.6,Moreland City Council,-37.7548,144.9545,Northern Metropolitan,11918,Parkade,1500000,2017,8
Richmond,3,h,VB,Jellis,2.6,3121,3,2,1,131,76,1900,Yarra City Council,-37.8132,144.9929,Northern Metropolitan,14949,Carport,1550000,2017,3
Heidelberg Heights,3,h,S,Barry,10.5,3081,3,1.6,1.4,549,147.2,1985.8,Banyule City Council,-37.766694,145.113676,Eastern Metropolitan,2947,Detached Garage,820000,2017,5
South Yarra,3,u,VB,Kay,2.7,3141,3,1.4,2,573,167.6,1958.4,Melbourne City Council,-37.811086,145.0498,Southern Metropolitan,14887,Parkade,1380000,2018,2
Berwick,3,h,S,Alex,13.92,3806,3,2,2,1212,121.4,1953.2,Casey City Council,-38.03517,145.36564,Eastern Victoria,17093,Attached Garage,1100000,2017,10
Northcote,1,u,S,Nelson,5.5,3070,1.8,1.2,1,226.2,79.2,1984,Darebin City Council,-37.759826,144.995166,Northern Metropolitan,11364,Indoor,440000,2017,4
Preston,3,h,S,RW,8.8,3072,3,1,2,581,90,1960,Darebin City Council,-37.7536,145.0191,Northern Metropolitan,14577,Indoor,690000,2017,4
Caroline Springs,3,h,PI,YPA,14.8,3023,3,2,2,528,185,2000,Melton City Council,-37.73998,144.72995,Western Metropolitan,7719,Detached Garage,580000,2018,2
Northcote,2,u,PI,Barry,5.5,3070,2,1,1,120,76,1975,Darebin City Council,-37.7715,145.0075,Northern Metropolitan,11364,Outdoor Stall,665000,2017,3
Kingsbury,2,u,S,Barry,12.4,3083,2,1,1,128,60.4,1970,Darebin City Council,-37.715,145.043,Northern Metropolitan,1414,Underground,380000,2017,2
Heidelberg Heights,2,h,S,Haughton,10.5,3081,2,1,2,733,135,1965.4,Banyule City Council,-37.7442,145.0528,Eastern Metropolitan,2947,Carport,910000,2017,6
Moonee Ponds,1,u,S,Nelson,6.9,3039,4,2.2,1.8,601.2,175,1923,Moonee Valley City Council,-37.7571,144.9167,Western Metropolitan,6232,Outdoor Stall,1685000,2016,6
Frankston,3,h,PI,Aquire,11.14,3199,3,2,2,594,134,1962.4,Frankston City Council,-38.1445,145.1294,South-Eastern Metropolitan,17055,Underground,700000,2017,11
Preston,3,h,SP,hockingstuart,8.8,3072,3,1,1,527,122.8,1952.8,Darebin City Council,-37.7396,145.0174,Northern Metropolitan,14577,Carport,900000,2016,12
Glenroy,2,h,SP,Barry,13,3046,2.4,1.2,1.4,496.2,132.4,1965.6,Moreland City Council,-37.76893,144.974822,Northern Metropolitan,8870,Carport,625000,2017,4
St Albans,3,t,S,Ray,14,3021,3,1,1,160,129,2000,Brimbank City Council,-37.73915,144.80289,Western Metropolitan,14042,Attached Garage,460000,2017,6
Prahran,2,u,S,hockingstuart,4.6,3181,2,2,1,0,122.8,2003,Stonnington City Council,-37.84696,144.99364,Southern Metropolitan,7717,Carport,1003000,2017,8
Footscray,3,h,SP,Jas,5.1,3011,3,2,2,121,117.8,2014,Maribyrnong City Council,-37.79949,144.88487,Western Metropolitan,7570,Indoor,810000,2017,3
Brunswick,2,h,S,Nelson,5.2,3056,2,1,1,255,134,1916,Moreland City Council,-37.77455,144.96865,Northern Metropolitan,11918,Indoor,1450000,2018,3
Malvern,3,h,VB,Abercromby's,5.9,3144,4,2,2,250,202.2,1944,Stonnington City Council,-37.85168,145.03181,Southern Metropolitan,4675,Parkade,2025000,2018,2
Bentleigh East,4,h,S,Jellis,13.8,3165,4,2,2,680,136.8,1926,Glen Eira City Council,-37.91776,145.07812,Southern Metropolitan,10969,Parkade,1420000,2018,6
Greensborough,3,h,S,Darren,16.1,3088,3,2,2,820,138.4,1978.8,Banyule City Council,-37.698,145.131,Northern Metropolitan,8524,Indoor,905000,2017,11
Pascoe Vale,5,h,PI,Brad,9.9,3044,5,3,2.2,1004,205,1949,Moreland City Council,-37.7321,144.9353,Northern Metropolitan,7485,Detached Garage,1410000,2017,4
Maribyrnong,3,h,VB,Biggin,8.7,3032,3,1,1.8,578,176,2006,Maribyrnong City Council,-37.7837,144.8887,Western Metropolitan,4918,Indoor,820000,2016,7
Glen Iris,2,u,S,Thomson,7.3,3146,2,1,1,0,109.6,1970.2,Boroondara City Council,-37.85546,145.04998,Southern Metropolitan,10412,Parking Pad,523000,2017,1
Essendon North,3,h,S,Nelson,9.4,3041,2.6,1.2,1.6,374.2,137,1980,Moonee Valley City Council,-37.83343,144.986636,Western Metropolitan,1308,Detached Garage,812000,2017,4
Frankston,3,h,S,Community,14.7,3199,3,1,2,602,170,1993.6,Frankston City Council,-38.13759,145.17054,South-Eastern Metropolitan,17055,Underground,491000,2017,5
Pascoe Vale,3,h,S,hockingstuart,9.9,3044,3.2,1,1.6,537.4,116.2,1957.6,Moreland City Council,-37.72044,144.94356,Northern Metropolitan,7485,Indoor,770000,2016,9
Ashburton,3,h,SP,Marshall,10.2,3147,3,1,2,689,159,1940,Boroondara City Council,-37.87286,145.07412,Southern Metropolitan,3052,Underground,1870000,2017,10
Aberfeldie,4,h,SP,Brad,7.5,3040,4,2,2,797,26,1930,Moonee Valley City Council,-37.75857,144.89572,Western Metropolitan,1543,Attached Garage,1905000,2017,10
North Melbourne,2,u,SP,Woodards,2.3,3051,2,1,1,0,89.6,1970,Melbourne City Council,-37.7976,144.9454,Northern Metropolitan,6821,Attached Garage,587134,2016,8
Glenroy,2,h,S,Barry,13,3046,2,1,1,114.4,63.6,1975,Moreland City Council,-37.799586,144.939178,Northern Metropolitan,8870,Detached Garage,452000,2016,9
Werribee,4,h,PI,Ray,14.7,3030,4,3,1,715,122.8,1952.8,Wyndham City Council,-37.9085,144.6664,Western Metropolitan,16166,Outdoor Stall,900000,2017,11
Ormond,3,h,S,Buxton,11.4,3204,3,2,2,635,211.6,1983,Glen Eira City Council,-37.90066,145.03858,Southern Metropolitan,3578,Detached Garage,1620000,2018,2
Wantirna,4,h,S,Ray,14.7,3152,4,2,2,457,110,1975,Knox City Council,-37.84148,145.23028,Eastern Metropolitan,5424,Indoor,915000,2017,9
Richmond,2,u,S,Jellis,2.4,3121,2.2,0.8,0.6,375.6,120,1966.8,Yarra City Council,-37.77865,144.919614,Northern Metropolitan,14949,Attached Garage,702000,2017,8
Endeavour Hills,3,h,SP,O'Brien,17.36,3802,3,2,3,810,114,1980,Casey City Council,-37.98841,145.26001,South-Eastern Metropolitan,8443,Parkade,676000,2017,7
Hadfield,4,h,S,Barry,12.1,3046,2,2,2,700,168,1950,Moreland City Council,-37.7056,144.9384,Northern Metropolitan,2606,Parking Pad,700000,2016,10
Hillside,3,h,PI,Barry,18,3037,3,2,1,320,100.846,1991.2,Brimbank City Council,-37.70338,144.74854,Western Metropolitan,5556,Detached Garage,480000,2017,6
Brunswick,3,h,SP,Jellis,5.2,3056,3,1,1.2,382.8,155,1910,Moreland City Council,-37.77161,144.96759,Northern Metropolitan,11918,Detached Garage,1320000,2017,8
Epping,4,h,SP,HAR,19.6,3076,4,2,2,510,199,2000,Whittlesea City Council,-37.63751,145.03896,Northern Metropolitan,10926,Attached Garage,611000,2018,6
Kew,2,u,S,Nelson,5.4,3101,2.8,1.4,1.6,445.2,209,1964.2,Boroondara City Council,-37.828734,145.040764,Southern Metropolitan,10331,Carport,1020000,2017,10
Port Melbourne,2,u,S,Marshall,3.8,3207,2,1,2,0,94,1997,Melbourne City Council,-37.8426,144.9398,Southern Metropolitan,8648,Indoor,900000,2016,5
Yarraville,2,u,SP,Sweeney,6.3,3013,2,1,1,523.8,91.8,1988.6,Maribyrnong City Council,-37.794278,144.871116,Western Metropolitan,6543,Attached Garage,410000,2018,6
Brunswick,1,u,S,Walshe,5.2,3056,1,1,1,0,51,1970,Moreland City Council,-37.7597,144.9548,Northern Metropolitan,11918,Parkade,279500,2016,10
Richmond,3,t,S,Chambers,2.4,3121,2.8,1.8,1.8,419.6,137.4,1932,Yarra City Council,-37.798782,145.027054,Northern Metropolitan,14949,Carport,1265000,2017,11
Hampton,3,t,VB,Buxton,13.8,3188,3,2,1,341,193,1997,Bayside City Council,-37.94496,145.02111,Southern Metropolitan,5454,Parkade,1400000,2018,2
Vermont,2,u,S,Ray,17.2,3133,2,1,1,149.4,103,1977.8,Maroondah City Council,-37.83113,145.19515,Eastern Metropolitan,4181,Carport,580000,2017,9
